ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0031577	6178	41	132	1	0.5886933816572459	1.0	1.436927071006873E-106	"spindle checkpoint"
GO:0015193	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"L-proline transmembrane transporter activity"
GO:0015197	6178	9	132	1	0.1767592739210064	1.0	2.78396485469723E-29	"peptide transporter activity"
GO:0015198	6178	7	132	1	0.14037424422917674	1.0	1.4722174544616286E-23	"oligopeptide transporter activity"
GO:0015233	6178	1	132	1	0.021366137908615166	1.0	1.6186468112627334E-4	"pantothenate transmembrane transporter activity"
GO:0097159	6178	1875	132	50	0.03729456765488989	1.0	0.0	"organic cyclic compound binding"
GO:0097164	6178	29	132	1	0.46622052729933494	1.0	1.0978276143602658E-79	"ammonium ion metabolic process"
GO:0048015	6178	3	132	1	0.0627485713782294	1.0	2.5457658580480047E-11	"phosphatidylinositol-mediated signaling"
GO:0015248	6178	10	132	1	0.1943744102225381	1.0	4.5128300449227395E-32	"sterol transporter activity"
GO:0048017	6178	9	132	1	0.1767592739210064	1.0	2.78396485469723E-29	"inositol lipid-mediated signaling"
GO:0048027	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"mRNA 5'-UTR binding"
GO:0015266	6178	15	132	1	0.2769935405749504	1.0	1.8246014326231625E-45	"protein channel activity"
GO:0015267	6178	34	132	2	0.16369746508341382	1.0	4.176802367072219E-91	"channel activity"
GO:0048037	6178	147	132	5	0.20539647057281996	1.0	5.534815809084123E-301	"cofactor binding"
GO:0031667	6178	144	132	4	0.37026867762158566	1.0	3.905394802944165E-296	"response to nutrient levels"
GO:0031668	6178	125	132	4	0.27787208101363026	1.0	9.274405830867969E-265	"cellular response to extracellular stimulus"
GO:0031669	6178	117	132	4	0.24013255004877254	1.0	3.545202153824399E-251	"cellular response to nutrient levels"
GO:0031670	6178	50	132	2	0.2896788900320743	1.0	1.0642026561407865E-125	"cellular response to nutrient"
GO:0015288	6178	3	132	1	0.0627485713782294	1.0	2.5457658580480047E-11	"porin activity"
GO:0015291	6178	113	132	3	0.4361601125584815	1.0	2.693320023772709E-244	"secondary active transmembrane transporter activity"
GO:0015293	6178	48	132	1	0.6467914346549958	1.0	1.6319556419339606E-121	"symporter activity"
GO:0015297	6178	54	132	2	0.32141164227428975	1.0	5.733472914994473E-134	"antiporter activity"
GO:0015298	6178	6	132	1	0.12158772109018476	1.0	1.2980751612755431E-20	"solute:cation antiporter activity"
GO:0015299	6178	6	132	1	0.12158772109018476	1.0	1.2980751612755431E-20	"solute:proton antiporter activity"
GO:0015343	6178	5	132	1	0.10239380935159907	1.0	1.3355029950948291E-17	"siderophore transmembrane transporter activity"
GO:0097305	6178	15	132	1	0.2769935405749504	1.0	1.8246014326231625E-45	"response to alcohol"
GO:0015386	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"potassium:proton antiporter activity"
GO:0097306	6178	8	132	1	0.15876196093043388	1.0	1.908562572615925E-26	"cellular response to alcohol"
