Algorithm,Dataset,Tric,n_genes,n_conds,n_times,timed_out,TRIQ,GRQ,PEQ,SPQ
delta-Trimax,QualityC,32,3,2,2,False,0.898936785767232,0.9224486852343777,0.8548080211081807,0.7549703546891173
delta-Trimax,QualityC,33,23,2,2,False,0.8694856083189234,0.9890355429131946,0.3927328833051694,0.3898388565785071
delta-Trimax,QualityC,34,20,2,2,False,,0.9886352798765835,0.1579719187501736,
delta-Trimax,QualityC,35,5,2,2,False,0.9818285508778185,0.9925140696903251,0.9856684546236203,0.8925044966319643
delta-Trimax,QualityC,36,8,4,2,False,0.9972998759714545,0.9995413092769739,0.999528680665738,0.9771396048330162
delta-Trimax,QualityC,37,7,5,2,False,0.9983066520382766,0.999800836193417,0.9997898039981356,0.9848700268372945
delta-Trimax,QualityC,38,13,2,2,False,,0.9958007906469971,0.015326306760961335,
delta-Trimax,QualityC,39,3,2,2,False,,0.9343174956977236,0.3268992294121654,
delta-Trimax,QualityC,40,3,3,2,False,0.8692054651021235,0.8929903415512676,0.7973494347412683,0.750782483869826
delta-Trimax,QualityC,41,5,2,2,False,0.9133871428456274,0.9837161396435631,0.6364178571948076,0.6277244541129607
delta-Trimax,QualityC,42,14,5,2,False,0.48356657345384085,0.5293593461536898,0.2812225426869849,0.319568422621905
delta-Trimax,QualityC,43,3,2,2,False,0.8706220926622523,0.8800136606803306,0.799444974513211,0.8666666666666666
delta-Trimax,QualityC,44,3,2,2,False,0.9467680270771227,0.9677568210546135,0.7960075750010415,0.9296181273332772
delta-Trimax,QualityC,45,2,2,2,False,0.8754585795012926,0.9777375706766528,0.48547163409974536,0.4472135954999579
delta-Trimax,QualityC,46,6,2,2,False,0.7094285986682034,0.7908478797305145,0.4409881942032851,0.32651475463463125
delta-Trimax,QualityC,47,2,2,2,False,,1.0,0.0,
delta-Trimax,QualityC,48,8,2,2,False,0.8553609261094862,0.9317999091672491,0.5355877118580769,0.5636222758987925
delta-Trimax,QualityC,49,4,2,2,False,0.9784397655381307,0.9841042863354059,0.9743707374956471,0.9371926272024121
delta-Trimax,QualityC,50,13,2,2,False,0.9783581143889425,0.9837192845402057,0.9820564397073485,0.9317704278604296
TCtriCluster,Yeast,1,13,2,3,False,0.8175583449254967,0.9245326334015666,0.385890536546405,0.3934318454960297
TCtriCluster,Yeast,2,12,2,3,False,0.4807743776923007,0.5041271214381784,0.4007920653900225,0.3739347400275567
TCtriCluster,Yeast,3,11,2,3,False,0.6914274114400665,0.7485253175174443,0.4964611846507207,0.42961038961038955
TCtriCluster,Yeast,4,12,2,3,False,0.7223000093773704,0.8295654695184729,0.2855401248186521,0.30093621280726846
TCtriCluster,Yeast,5,12,2,3,False,,0.8348800896678703,0.21345790906892498,
delta-Trimax,Yeast,1,20,2,4,False,0.5979719625325319,0.6652238598133824,0.324131189987999,0.33379755683026097
delta-Trimax,Yeast,2,15,2,3,False,0.7999586200604787,0.8944834150187724,0.4146032341961038,0.42911564625850346
delta-Trimax,Yeast,3,19,2,3,False,0.6749012811431996,0.7440660989779915,0.4102870875881195,0.38619693201994393
delta-Trimax,Yeast,4,13,2,3,False,0.7886770022383389,0.8386157491036969,0.6005546522644372,0.5772893772893775
delta-Trimax,Yeast,5,34,2,3,False,0.7498225607225658,0.8165722726245724,0.4903051959759169,0.47534223025316047
delta-Trimax,Yeast,6,17,2,3,False,,0.8681468355105554,0.2625691146487342,
delta-Trimax,Yeast,7,18,2,2,False,0.9373373269153825,0.9616090452285334,0.8464795854497499,0.8340213218758076
delta-Trimax,Yeast,8,10,2,4,False,0.7418582548954972,0.7873934785150601,0.5742590414344505,0.5451756794000393
delta-Trimax,Yeast,9,46,2,2,False,0.7485958954603819,0.8107896295465762,0.49818277906549685,0.5014591391657118
delta-Trimax,Yeast,10,20,2,2,False,0.9051213470999642,0.91449070427715,0.9068667841508625,0.8284210526315788
delta-Trimax,Yeast,11,38,2,2,False,0.9265738878532586,0.9493731564695105,0.8431559886821511,0.8275976380943499
delta-Trimax,Yeast,12,4,2,4,False,0.8644148702762262,0.9089491502172479,0.7138253422941201,0.6587301587301588
delta-Trimax,Yeast,13,33,2,2,False,0.8071327547040329,0.8846058431826815,0.4968820567385879,0.49759874484028865
delta-Trimax,Yeast,14,9,2,2,False,0.9264442805696689,0.9385579727226315,0.9115345794711919,0.8444444444444446
delta-Trimax,Yeast,15,17,2,2,False,0.8837864914606463,0.9260195615558008,0.726767245689467,0.7029411764705882
delta-Trimax,Yeast,16,45,2,2,False,0.8029717477046417,0.8867761012612662,0.4720360406156369,0.463472626340651
