8.6691,8.69263,8.88872,8.3398,8.92519,8.82489,8.85414,8.50537
9.54893,9.19675,9.09069,9.46055,8.89784,9.18087,9.15097,8.99864
10.3899,9.95981,9.7884,10.0002,9.7123,9.88167,9.76345,9.91215
10.3189,10.1563,10.0552,10.5921,10.2239,10.3218,10.652,10.7505
9.76866,9.52187,8.96915,10.0369,9.01965,9.37286,10.084,9.92628
9.24868,9.06922,8.75681,9.60224,8.89737,8.8726,9.41412,9.24806
9.8301,9.62189,9.23979,10.4793,9.1841,9.5429,10.107,9.99059
10.3341,9.88095,9.81254,10.3697,9.69045,9.75932,10.1252,10.1448
11.3808,11.1542,11.0555,11.3196,11.214,11.1613,11.1687,11.4546
7.26048,6.20658,6.18173,7.23143,6.49872,6.46357,7.06471,7.14322
10.0438,9.69285,9.38646,9.87066,9.64223,9.59023,9.79012,9.80752
9.45887,9.72326,9.7171,9.15845,9.8304,9.65258,9.10557,9.16025
9.32689,9.68945,9.70172,9.66419,9.90627,9.5845,8.74987,8.67575
9.29389,9.23236,9.19682,9.5705,9.60815,9.49252,9.69437,9.95331
11.8197,12.0394,11.7644,11.6742,11.8617,12.0141,11.3665,11.3997
12.4309,12.7805,12.8839,12.2376,12.688,12.8639,12.4512,12.5623
8.08849,7.81673,7.82146,8.33591,7.7912,7.77685,7.89502,8.30219
10.3619,11.0671,11.3431,9.86509,11.048,11.1354,10.7072,9.74146
8.54515,8.49735,8.36836,8.21811,8.36959,8.8581,8.93183,8.95084
10.5597,10.3592,10.2543,10.3746,10.57,10.5486,10.5324,10.6859
8.10409,8.23081,8.26864,8.01855,8.50625,8.41571,8.17804,8.50881
2.63164,2.70969,2.65788,2.74259,2.6771,2.69436,2.7638,2.81936
12.0296,12.1396,12.0705,11.9765,12.0357,12.2106,12.3616,12.2819
13.689,13.6887,13.4795,13.3872,13.6127,13.594,13.2797,13.4846
9.97853,10.0274,9.87776,9.683,10.0734,9.91988,9.71676,9.6028
13.1443,13.1428,13.1975,13.0791,13.1407,13.3004,13.2414,13.1977
12.9664,12.7345,12.7261,13.0045,12.6814,12.9726,13.0829,13.0545
11.3667,11.4714,11.3547,11.5849,11.4144,11.5873,11.6895,11.5654
6.78272,7.70091,8.16264,6.56874,7.88216,8.02314,7.57264,6.1751
10.4272,11.116,11.3915,10.5595,11.292,11.1352,10.9431,10.7177
3.15621,3.25497,3.05998,3.86679,3.1996,3.22,3.56977,3.77424
9.32591,9.41278,9.36151,9.19201,9.32433,9.47323,8.94096,9.50584
10.1395,10.551,10.556,10.056,10.2452,10.547,10.2742,10.1277
9.90461,9.91636,10.0516,9.81294,9.72677,9.8657,10.0002,9.53951
9.09692,8.98519,8.95261,9.11415,8.75863,8.91041,8.89258,8.6089
7.75852,7.65497,7.74057,7.58948,7.81892,7.88219,8.08322,7.69223
9.10356,9.16588,9.1735,9.14466,9.13174,9.11349,8.89825,8.92144
6.48052,6.75017,6.916,6.60243,6.68778,6.74154,6.81623,6.26452
11.5503,11.7403,11.6046,11.5101,11.7693,11.5633,11.3517,11.5581
6.17222,7.10516,7.12441,5.99489,7.45325,7.50445,6.59907,6.39951
10.9045,10.6744,10.6304,10.9311,10.9893,10.8598,10.9569,11.0557
8.84966,8.84971,9.03769,8.86896,9.19267,9.06729,8.87168,8.52199
8.2298,8.79263,8.70933,8.25179,9.15805,8.9526,8.15201,7.6921
8.80392,8.68545,8.67695,8.51302,8.67224,8.66898,8.19923,8.58457
6.51821,6.87574,5.70297,5.72694,6.21608,5.83479,5.61896,4.91022
2.60589,3.2732,3.21697,3.28245,3.30302,3.74767,3.35821,3.45276
8.89277,9.52162,9.65235,8.98238,8.85347,8.86082,8.66271,8.75625
6.73725,6.8858,6.59822,6.41739,6.54779,6.54284,6.45217,6.47748
4.85625,4.9129,4.96514,4.53678,4.9832,4.94173,4.25715,4.37399
2.13082,2.23379,2.16461,2.28911,2.18413,2.20294,2.30677,3.32682
6.88048,6.93839,6.96064,7.02646,6.71018,7.09465,6.6012,7.13472
8.56374,8.62738,8.6907,8.09509,8.93318,8.79574,8.45382,8.54822
3.26141,3.46721,3.34625,3.53592,3.36024,3.44853,3.56306,3.58333
2.61259,2.79887,2.59734,2.98982,2.71049,2.75287,2.85957,2.98096
2.62143,3.31094,3.24357,3.44116,4.14941,3.55801,4.3768,4.75278
