TRIQ,GRQ,PEQ,SPQ,Solution,Algorithm,Dataset
0.20443267047514949,0.1770638591249496,0.3204047883393157,0.3074110434125824,Cocluster {8},2D SpectralCoclustering,Yeast
0.18217934077150882,0.16775348805822587,0.2437442218512534,0.23602128139802767,Cocluster {9},2D SpectralCoclustering,Yeast
0.3302949569709335,0.32044427470828996,0.3771493267330688,0.3622460453099464,Cocluster {10},2D SpectralCoclustering,Yeast
0.3796030211019835,0.3884326830842497,0.360114733356099,0.3284540129897383,Cocluster {12},2D SpectralCoclustering,Yeast
0.2720775175510124,0.26103428819828023,0.32137990708773934,0.3111209628361428,Cocluster {13},2D SpectralCoclustering,Yeast
0.17795805907450565,0.16649880737967837,0.22734156051702428,0.22024857119060529,Cocluster {14},2D SpectralCoclustering,Yeast
0.33847889177119245,0.3378916313203649,0.3491784787756981,0.3324773883733069,Cocluster {15},2D SpectralCoclustering,Yeast
0.21681757207897995,0.20879265109898293,0.25251024971661296,0.2453242622813231,Cocluster {17},2D SpectralCoclustering,Yeast
0.20506369640584524,0.18039709682952776,0.3073101385421135,0.30015005088011687,Cocluster {18},2D SpectralCoclustering,Yeast
0.14167279193983925,0.12190460898518307,0.22435169047013465,0.21713935704679316,Cocluster {19},2D SpectralCoclustering,Yeast
0.2587343096517876,0.2374005344827007,0.3558944346395546,0.33224438601671596,Cocluster {20},2D SpectralCoclustering,Yeast
0.2075121203761351,0.19768035997236266,0.2505802496440383,0.24309807433841088,Cocluster {22},2D SpectralCoclustering,Yeast
0.2611162282159641,0.2474182739580888,0.32161575615554755,0.3102003343393826,Cocluster {23},2D SpectralCoclustering,Yeast
0.13547235835666357,0.11673309102825657,0.2135372843351407,0.20732157100544243,Cocluster {24},2D SpectralCoclustering,Yeast
0.2902240058338793,0.2738979348392162,0.36845358118917954,0.3426029984358835,Cocluster {25},2D SpectralCoclustering,Yeast
0.1655281447376386,0.14634458334324618,0.24520617682709797,0.23931860380331843,Bicluster {1},2D SpectralBiclustering,Yeast
0.39699915677406533,0.39234649261895205,0.4232732741377677,0.40794635265126905,Bicluster {2},2D SpectralBiclustering,Yeast
0.41885961603614597,0.4153120737722078,0.4707632339125433,0.39533633627125386,Bicluster {3},2D SpectralBiclustering,Yeast
0.4970483769448406,0.5180245216803986,0.42399317840693185,0.40229441759828577,Bicluster {4},2D SpectralBiclustering,Yeast
0.4328211093163131,0.4306510041707393,0.44478319665296084,0.43821986314425554,Bicluster {5},2D SpectralBiclustering,Yeast
