934.502,1008.01,1058.35,1140.33,1042.41,1179.15
227.603,208.877,209.751,222.669,211.808,205.07
78.0669,84.0754,122.754,88.1338,89.2945,103.025
170.018,232.479,243.72,218.122,182.311,235.776
883.292,857.117,892.33,878.113,802.07,798.782
2298.66,2252.62,2491.63,2671.69,2580.53,2746
847.626,874.722,954.563,874.886,870.503,978.767
985.612,1017.29,1104.74,1006.45,989.81,1029.81
542.222,536.057,474.637,532.796,547.451,470.923
1196.16,1135.88,1304.64,1215.72,1139.4,1288.64
614.399,602.004,543.397,669.662,636.237,516.5
133.647,112.26,116.387,103.481,93.0712,109.393
1248.55,1036.58,1052.23,1185.26,1217.64,1096.78
1085.84,1125.38,1200.18,1046.54,1100.02,1210.47
502.03,577.57,580.355,429.437,456.127,563.09
780.793,965.443,966.174,714.003,697.47,939.28
7543.8,7366.25,6844.53,8029.4,7871.47,6816.47
1419.31,1468.31,1749.06,1650.43,1507.88,1936.55
3331.59,2733.86,2519.6,2936.07,3172.13,2420.92
293.268,327.417,209.005,256.431,169.679,254.109
4797.05,4624.8,5027.97,4504.55,4465.53,4480.23
85.3085,85.0997,89.4664,100.028,101.961,73.7515
1.01078,1.79471,0.643081,1.96354,2.0343,2.69977
3702.89,3665.22,4049.77,3950.98,3842.92,4109.4
9053.57,9774.99,9838.41,9654.79,9489.71,9528
620.821,642.889,597.688,617.635,648.985,645.425
9004.93,9554.45,10169.7,9363.62,9045.61,9455.19
6609.24,6691.07,7330.06,6351.55,6171.92,7653.48
1690.96,1403.39,2092.32,1838.82,1661.59,2454.46
26.4034,30.1868,22.5475,26.8378,40.9046,23.0428
3335.95,3372.66,3666.65,3740.18,3506.95,3713.84
1.77734,8.85472,11.8118,20.0341,6.35956,18.7608
402.783,420.334,427.854,383.297,383.267,434.198
657.829,544.148,361.266,595.389,562.65,440.949
278.503,189.339,171.628,269.888,281.603,197.864
162.024,187.623,109.348,155.235,203.796,106.995
468.038,443.64,462.533,457.368,481.061,504.337
300.568,270.026,195.803,290.694,314.102,224.133
