58.5,51.4,48.3,54.4
9.2,14.7,12.2,6
3.3,1.9,0.2,5.6
0.5,11.1,10.3,1.1
0.9,0.4,6.9,11.3
13.5,18.9,23.6,18.6
24,25.8,25.2,35.1
126.9,115,91.5,59.7
1.2,2.8,3.8,1.8
2.1,1.3,1,0.6
27,41.2,25.3,37.7
21.4,28.6,20.4,35.4
24.8,27.3,26.7,34.6
9.9,13.3,5.9,17.5
2.7,9.7,18.1,9.3
0.7,1.4,0.7,4
1.3,1.1,0.8,0.4
9.5,16.7,9.4,1.2
60.5,91.7,66.5,78.3
6.4,3.7,1.3,10.2
13.7,21,12,17.3
1.4,5.8,1.1,0.8
6.4,3.9,6,6.5
12.4,29,13.1,23.3
15.5,20.4,16.2,15.1
2.6,3.2,1,5.5
2.3,1.8,0.5,1.7
81.2,109.8,94.6,115.8
14.9,20.8,3.6,7.1
0.5,7.2,1.1,1.5
12.1,4.9,12.1,4.4
3.9,16.3,13.7,8.9
14.1,19.7,9.1,9.9
54.7,65.5,76.4,48.2
12.5,9.1,5.6,14.8
26.6,25.2,17.5,34.7
13.6,19.9,14.3,22.4
29.9,39.8,39.6,49.1
0.5,0.8,0.8,1.4
6.4,1.9,16.4,18.9
9.3,1.6,3.6,4.2
1.8,3.9,4.5,1.1
1.4,3.3,9.7,9
14.4,41,15.6,10.1
5.9,0.6,0.8,1.1
14,16.8,18.2,27.5
8.1,10.3,16.9,8.9
10.5,7.8,3.9,2.7
78.9,101.2,82.3,41
25.4,8.8,15.5,1
7.3,1.6,10.3,11.2
0.9,6.4,10.4,0.7
15.4,9.5,28.4,11.5
0.8,4.2,3.4,0.6
5.5,1.3,4.2,2.2
74.7,68.9,75.1,76.4
594.6,634.4,609,476.3
3.1,2.3,1.5,2.7
14,22,18.5,11.7
10.1,7.1,9.3,7.4
0.3,0.4,5.6,3.3
14.8,1.2,13.7,5.8
25.3,25.2,26,24.2
27.4,27.8,33.6,19.7
25.1,2,13.5,2.9
2.4,1.3,1.8,5.3
10.7,4,7.5,11.2
11.7,8.8,10.7,6.3
4.8,8.6,6.1,0.6
22.4,18.1,13.3,25.9
16.5,20.2,12.6,20.6
21.8,23.5,31.5,24
42.1,32,48.8,91.5
165.1,160.5,159.1,156.8
0.4,7.5,3.9,7.3
12.2,21.7,24.3,26
8.4,7.4,1.3,15.1
16.5,12.5,9.2,10.3
16.7,5.7,16,11.5
3.1,13.4,3.5,10
1.1,1.9,1,2.4
2.3,2.1,6,3
4.5,6.9,7.9,9.3
1.5,0.5,4.2,3.6
23.3,18.5,12.1,15.5
2.2,3,1.5,4.1
16.7,3.8,1,2.9
16,7.5,3.8,18.2
7.3,3,2.3,7.8
0.9,9.1,2,1
9,17.3,17.7,21.9
73.8,77,54,74.6
8.2,15,3.2,28.9
1.6,3.2,1.9,1.6
7.1,1,1.1,5.2
2.1,1.6,1.3,2.6
0.7,2.1,10.1,4.1
30.6,35.4,37.6,43.4
0.4,4.6,2.1,0.5
0.8,0.1,1.8,0.3
12.8,12.4,6.2,12.3
5.7,2.5,11.5,9.8
1.1,14.7,0.9,13.7
2.7,13.9,10.7,3
6,5.2,0.9,12.9
14.1,3.4,1.5,3.3
8.2,16,11.8,2.2
22.4,28.9,25.5,20.9
0.5,0.5,5,2.1
11.4,7,14.6,1.7
2.8,3.9,2,0.6
6,4.1,6.8,1.7
0.7,2,0.7,0.8
5.3,15.4,36.6,29.2
22.2,3.2,20.6,5.3
310.7,473.2,554.3,408.7
7.9,4.1,3.3,12.5
0.8,0.8,1,0.6
1.2,2.1,2.1,6.4
2,10.4,1.6,2.9
0.8,1.4,0.9,1.3
8.9,10.5,12.5,15.5
3.1,3.5,1,1.1
4.6,2.6,8.7,0.4
3.2,1.6,1.3,1.5
15.9,36.4,18.8,30.2
78.8,61.9,89.2,92.1
14.7,13.2,11.1,33.4
6.3,5.6,8.8,6.4
21.9,4.4,20.1,18.2
5,4.2,5.9,5.6
11.8,9.1,4.3,6.3
6.6,54.8,23.9,41.6
0.7,4.7,2,4.1
7,1.2,7,8
3.4,4.4,6.4,9.4
0.3,2.8,0.4,1.5
3.1,8.8,9.1,7.2
0.4,9.9,0.4,3.1
21.4,9.8,15.7,16.5
16.9,21.6,12.9,16.5
38.3,22.7,30.1,11.2
22.3,17.9,16.6,22.9
67,74.6,60.1,66.3
3.3,3,2.4,1.9
2.9,5.2,8,5
29.2,32.9,12.6,51.5
9.7,13.4,11.5,9.2
40.7,41.6,38.8,38.1
2.9,3.2,10.6,12.6
1.7,8.5,17.4,3.8
2.2,8.8,0.7,15.3
1.4,1.2,2.9,2.4
12.7,14.1,16.1,3.4
2.9,4.5,5.5,3.9
3.9,12.1,11.7,0.6
5.5,2.2,3.4,4.6
1.3,1.8,6.4,9.7
10,2.5,7.1,2.7
1.1,0.3,1.3,3.6
0.1,0.5,0.5,0.4
9.4,3.5,4.4,9.1
13.4,17.2,9.1,7.1
18.9,24.5,14.2,25.7
1.3,8.7,8.6,3.4
60.2,59.5,51.4,55.6
4.8,1.1,0.7,0.6
18.7,22.8,20.3,17.2
32.1,16.6,30.7,26.5
2.7,2.3,2.6,2
28.6,45.1,37.2,39.1
43.2,45.8,43.3,60.2
0.5,0.4,8.9,1.2
23,32.3,30.6,45
104,126.8,126.8,123.9
2.1,4.7,2.3,2.4
4.5,3.3,1.2,16.4
14.1,28.6,15.7,25.1
32,35.3,35.7,54.3
2.5,23.5,8.5,28.1
2.5,9,0.5,0.5
2.1,9.9,8.4,17.8
27.7,27.3,27.5,31.9
3.1,3.1,0.3,7
7.4,7.4,4.7,8.8
1.7,9.2,0.9,2.3
1.7,1.7,1.7,10.8
1,1.3,2.1,2.4
1.1,0.9,3.8,5
9.1,12.2,14.6,24.5
10.3,15.6,13.2,16.8
5.8,1.5,8.9,18.1
20.9,14.7,19.8,17.5
1.4,6.1,8.7,6.8
1.6,3.4,6.5,3.4
13.3,5.3,4,9.8
1.5,2.1,1.4,4.6
1.7,2.7,4.8,5
18.4,12.6,18.5,25.2
17.6,32.1,20.3,33.8
12,18,10.8,16.7
3.9,3.5,12.6,4.8
0.2,3.7,1.7,3.4
12.5,4.8,1.7,1.6
0.1,0.2,0.3,0.8
7,0.3,10.2,4.6
21.5,38,18.2,28.3
222.1,138.7,149.9,213
222.9,450.8,413.4,280.7
12,14.6,8.1,2.7
26.5,16.6,35.6,15.4
1.9,19.5,2.2,2.4
22.2,23.1,7,20.3
1.1,4.8,1.8,2.5
0.7,0.4,0.2,0.8
8.4,17.6,18,9.4
0.9,1.2,1,1.2
9.7,14.4,7.5,5.1
0.3,1.1,1,0.6
3.3,12.4,18,5
6.1,7.6,4.2,9.2
0.6,0.8,1,1.8
2.1,8.6,1,3.5
15.9,2.1,1.2,3.8
12.7,14.9,17.6,12.1
0.6,1,5.5,1.3
4.2,2.5,1.4,1.7
2.1,9.4,0.8,3.5
0.8,0.9,0.9,1.2
4.4,2.3,17.4,4.7
3.5,3.8,5.6,0.7
90.4,58.8,51.4,94.9
7.5,18.8,9.7,21
2.8,16.9,8.2,19.7
7.3,7.2,17.3,2
5.8,12.6,14.7,5.6
3.7,3.7,6.4,1.1
2.2,17.3,16.9,3.4
2.7,6.9,3,5.5
2.3,3.5,4.1,1.4
35.8,34.6,38.8,29.1
2.2,2.7,5.5,8.8
42.6,36.4,28.5,53.1
8.7,7.4,0.7,15.6
1,1.2,0.7,1.3
