789;1076.9;1188.3;1193.9;1090.6;1153.4;618.8;741.3;986.8;976.5;1107.7;816.7
2114.8;2284.2;1979.7;2347.5;2001.5;1684.2;2368.4;2029.7;1834.3;1671.3;2214.7;2009.1
1114;1136.3;1000.6;1392.5;1001.4;766.2;1121.3;913.8;1069.2;854.1;842.7;917.6
1580.6;1531.7;1403.5;1802.9;1517.3;1270.3;1911.8;1427;1557.8;1261.5;1387.5;1637.3
364.4;356.3;469;470.1;422.3;437.5;401.8;380.2;385;352.9;405.8;283.3
370;367.7;397.6;437.2;417.2;460.5;534.6;316.5;420.5;444.5;522.7;362.1
1671;1456;1640.3;1493.1;1502.5;1671.6;1992.8;1435.9;1483.6;1562.9;1476.5;1548.7
2340;2638.1;2559.5;2685.1;2452.2;2541.3;1802;2555.8;2559.3;2873.3;2444.6;2270.9
492;461.9;384.6;549;442.1;523;604.6;452.7;495.5;498.5;602.5;485.3
342.1;544.7;462.6;589.3;531.9;500;512.8;616.5;508.8;468.6;488.8;547.2
625.9;552.8;486.8;502.9;601.8;484.4;521.4;636.9;511.5;595.2;581;510.7
68.1;201.7;175.3;116.6;171.1;170;71.2;139.9;185.1;243.1;140.4;160.8
126.3;425;388.4;305.4;209.7;355.5;318.1;274.5;265.6;295.9;288.7;290.8
111.2;174.2;234.4;184.9;118.7;167.2;171.4;193.5;187.3;130.9;158.4;218.7
1609.4;1894.8;1862.3;1430.8;1488.7;1416.5;1498.1;1363.2;1631.8;1597.3;1361.5;1552
3210.6;3946.4;4752.4;3487.5;4212.4;4260.1;3809.8;3115.3;4002.6;5132.4;3661.4;3120
441.4;243.3;240.9;316.4;254;344.1;394.4;250.3;375.7;188.7;320.5;291.8
2622.2;2247.5;1864.6;2846.3;2688.6;2460.7;3772.3;2889.1;2722.5;2406.2;3478.2;3220.6
770.9;796.1;915.4;597.7;688.7;580.6;519.8;625.4;697.5;674.2;622.1;630.2
330;444.5;439.7;475.4;322.4;324;295.7;234.7;373;282.6;296.5;296.7
706.5;849.3;785.7;666.6;923.9;903.8;665.3;830.3;721.9;881.5;807.3;871
868.7;1237.5;1010.3;1041.1;848.7;903.2;839.4;771.1;839.2;791.1;1111.8;636.5
632.8;858.3;946.7;836.7;924.3;943.3;739.7;1036.4;805.7;765;792.4;794.2
321.2;343;285.3;477.7;336.7;359.3;385.8;289.8;333;389.5;354.5;339.1
957.1;1124;1047.2;998.9;1066.5;1127.7;1180.5;1263.1;1086.6;1116.4;964.5;1266.1
410.8;410.7;435.6;444.6;347.5;388.8;570.3;510.4;404.5;499.8;298;411.6
414.3;637.4;524.1;671.3;534.4;582.6;479.5;640.1;493.9;518.7;764.3;791.7
1501.2;1079.4;1449.1;1642.2;1396.3;1305.7;1991.8;1246.6;1380.7;1263.5;1029.3;1390.5
1525.4;2191;1979.5;1666;1780.7;1716.9;3092;1898.5;1743.6;1720.6;1705.4;2038.1
884.6;1132.9;835.9;624.8;902.8;980.7;739;775.3;765.5;609.7;1073.6;719.3
191.1;394.9;362.1;282.7;244.2;284.4;259.4;358.4;356.3;265;382;225.6
459.1;438.5;462.7;487.8;471.5;448.4;429.5;537.8;478.9;438.1;450.1;487.9
412.9;374.4;385.6;481.1;389.2;384.6;449.3;358.3;385.6;411.9;414.5;359
158.3;152.2;122.5;135;106.9;156.2;255.8;224.1;102.2;135.1;190.5;157.8
977.8;943.5;815.8;1020.4;880.3;818;940.1;836.9;842;783;884.9;1005.6
146.2;188.8;231.7;136.1;233;199.8;173.2;230.4;83.6;170.9;271.4;190.2
291.2;279.2;237.2;351.9;298.3;222.4;469.2;250.5;257.6;268;286.9;234.9
82.7;72.1;106.3;155.5;134.5;181;60.1;90.5;57.4;115.1;52.8;53.9
2.6;14.7;21.4;2.5;2.1;4.2;9;2;10.2;20.1;6.6;8.8
1.9;2.5;2.1;1.1;4.8;5.9;6;9.3;17.2;2.8;8;4.5
372.7;242.4;180.6;146;204.5;239.4;326.4;249.5;206.4;229.7;344.5;160
3.5;4.2;2.1;3.3;4.7;8.3;3.4;3.6;1.8;5.3;5;2.5
20.8;30;23.7;21.3;26.7;36.4;61.1;32.2;23.1;25.6;31.3;34.5
488;518.6;547.5;556.4;517.8;386.2;497.8;585.2;515.7;468.2;510.6;582.3
