ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000749	6178	79	170	4	0.17217381555292033	1.0	4.922224260320552E-183	"response to pheromone involved in conjugation with cellular fusion"
GO:0000750	6178	31	170	3	0.0523984955915396	1.0	2.7007149428206348E-84	"pheromone-dependent signal transduction involved in conjugation with cellular fusion"
GO:1901293	6178	110	170	3	0.5880079733415047	1.0	4.281446169344395E-239	"nucleoside phosphate biosynthetic process"
GO:0000754	6178	23	170	2	0.13082955287758027	1.0	1.7410024921125108E-65	"adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion"
GO:0033523	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"histone H2B ubiquitination"
GO:0000772	6178	4	170	1	0.10563222862338652	1.0	1.6490790983396384E-14	"mating pheromone activity"
GO:0000775	6178	91	170	1	0.92254723969716	1.0	2.83857186661178E-205	"chromosome, centromeric region"
GO:0000785	6178	165	170	5	0.4782803773189137	1.0	0.0	"chromatin"
GO:0017169	6178	5	170	1	0.13025848731111664	1.0	1.3355029950948291E-17	"CDP-alcohol phosphatidyltransferase activity"
GO:0033554	6178	687	170	16	0.7977521019027549	1.0	0.0	"cellular response to stress"
GO:0017171	6178	20	170	1	0.4281769413294456	1.0	3.8241685939355216E-58	"serine hydrolase activity"
GO:0000790	6178	136	170	3	0.7288799935831501	1.0	4.551439590460273E-283	"nuclear chromatin"
GO:0033558	6178	16	170	1	0.36045188460887934	1.0	4.736917559957599E-48	"protein deacetylase activity"
GO:0000793	6178	121	170	6	0.11579322810376398	1.0	5.3615388822973385E-258	"condensed chromosome"
GO:0000794	6178	103	170	5	0.1535052502211343	1.0	8.123766712065316E-227	"condensed nuclear chromosome"
GO:0000795	6178	12	170	2	0.04145454086211818	1.0	1.5660462930279868E-37	"synaptonemal complex"
GO:0033565	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"ESCRT-0 complex"
GO:0000798	6178	6	170	1	0.15421054581691382	1.0	1.2980751612755431E-20	"nuclear cohesin complex"
GO:0017182	6178	6	170	1	0.15421054581691382	1.0	1.2980751612755431E-20	"peptidyl-diphthamide metabolic process"
GO:0017183	6178	6	170	1	0.15421054581691382	1.0	1.2980751612755431E-20	"peptidyl-diphthamide biosynthetic process from peptidyl-histidine"
GO:0000800	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"lateral element"
GO:1901361	6178	198	170	2	0.9752819325881823	1.0	0.0	"organic cyclic compound catabolic process"
GO:1901360	6178	1992	170	50	0.811143830083751	1.0	0.0	"organic cyclic compound metabolic process"
GO:1901363	6178	1864	170	44	0.9080948479356935	1.0	0.0	"heterocyclic compound binding"
GO:1901362	6178	1068	170	26	0.785829422348792	1.0	0.0	"organic cyclic compound biosynthetic process"
GO:0000819	6178	140	170	2	0.9028221959466242	1.0	1.2577657010969888E-289	"sister chromatid segregation"
GO:0000828	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"inositol hexakisphosphate kinase activity"
GO:0000829	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"inositol heptakisphosphate kinase activity"
GO:0000830	6178	1	170	1	0.02751699579140215	1.0	1.6186468112627334E-4	"inositol hexakisphosphate 4-kinase activity"
GO:0000831	6178	1	170	1	0.02751699579140215	1.0	1.6186468112627334E-4	"inositol hexakisphosphate 6-kinase activity"
GO:0000832	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"inositol hexakisphosphate 5-kinase activity"
GO:1901407	6178	10	170	1	0.24363643894522619	1.0	4.5128300449227395E-32	"regulation of phosphorylation of RNA polymerase II C-terminal domain"
GO:0050000	6178	13	170	1	0.30447795709361697	1.0	3.3017518341544422E-40	"chromosome localization"
GO:1901426	6178	3	170	1	0.08031290786898423	1.0	2.5457658580480047E-11	"response to furfural"
GO:1901409	6178	8	170	1	0.20016497176632947	1.0	1.908562572615925E-26	"positive regulation of phosphorylation of RNA polymerase II C-terminal domain"
GO:0000902	6178	43	170	2	0.3324154060176525	1.0	6.891456172239944E-111	"cell morphogenesis"
GO:0000903	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"regulation of cell shape during vegetative growth phase"
GO:0033673	6178	21	170	1	0.4439628978034752	1.0	1.3041172535385284E-60	"negative regulation of kinase activity"
GO:0033674	6178	30	170	1	0.5678917667594747	1.0	5.356127570444337E-82	"positive regulation of kinase activity"
GO:0000910	6178	84	170	2	0.6779953239160701	1.0	2.1643461334368525E-192	"cytokinesis"
GO:0000917	6178	16	170	1	0.36045188460887934	1.0	4.736917559957599E-48	"barrier septum assembly"
GO:0000922	6178	85	170	1	0.9082081171154798	1.0	3.0188615251326594E-194	"spindle pole"
GO:0033698	6178	12	170	1	0.28475835280958484	1.0	1.5660462930279868E-37	"Rpd3L complex"
GO:0000932	6178	49	170	1	0.746564577243327	1.0	1.3044996159050566E-123	"cytoplasmic mRNA processing body"
GO:0000943	6178	24	170	2	0.14025887928110387	1.0	6.788636849792917E-68	"retrotransposon nucleocapsid"
GO:0033721	6178	2	170	1	0.054281138694603236	1.0	5.2408833131183764E-8	"aldehyde dehydrogenase (NADP+) activity"
GO:0000956	6178	109	170	2	0.8075300524272928	1.0	2.3621906183320795E-237	"nuclear-transcribed mRNA catabolic process"
GO:0000972	6178	18	170	1	0.3952561715108952	1.0	3.8180740768516367E-53	"transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery"
GO:0000973	6178	15	170	1	0.3423101893610756	1.0	1.8246014326231625E-45	"posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery"
GO:0000975	6178	123	170	1	0.968785157454641	1.0	2.1933652665172294E-261	"regulatory region DNA binding"
GO:0000976	6178	100	170	1	0.939986709118199	1.0	1.7181709441105147E-221	"transcription regulatory region sequence-specific DNA binding"
GO:0000977	6178	78	170	1	0.8881146660640113	1.0	3.8007048086160445E-181	"RNA polymerase II regulatory region sequence-specific DNA binding"
GO:0000981	6178	153	170	2	0.9278638503027039	1.0	1.3393648423531E-310	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
GO:0000982	6178	74	170	1	0.8747281967729807	1.0	1.5396963491280211E-173	"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
GO:0033750	6178	50	170	2	0.40211734744380156	1.0	1.0642026561407865E-125	"ribosome localization"
GO:0000983	6178	17	170	1	0.37809602281366034	1.0	1.3068419104069593E-50	"transcription factor activity, RNA polymerase II core promoter sequence-specific"
GO:0033753	6178	49	170	2	0.39235030351189304	1.0	1.3044996159050566E-123	"establishment of ribosome localization"
GO:0000988	6178	147	170	3	0.775987330372812	1.0	5.534815809084123E-301	"transcription factor activity, protein binding"
GO:0000989	6178	130	170	3	0.7001074865135722	1.0	3.927061375675073E-273	"transcription factor activity, transcription factor binding"
GO:1901565	6178	110	170	2	0.8115952761160519	1.0	4.281446169344395E-239	"organonitrogen compound catabolic process"
